accession_id	study_3_FT16	study_3_FT10	study_4_Diameter	study_4_CL	study_4_Length	study_4_RL	study_4_RBN	study_4_DTF2	study_4_DTF3	study_4_DTF1	study_5_rFitness.mhi	study_5_rFitness.mhp	study_5_rSeeds.tli	study_5_rSeeds.tlp	study_5_rFitness.tlp	study_5_rFitness.tli	study_5_rSeeds.mhi	study_5_rFitness.mli	study_5_rSeeds.mli	study_5_rSeeds.thi	study_5_rFitness.thi	study_5_rFitness.thp	study_5_rSeeds.thp	study_5_rSeeds.mhp	study_5_rSeeds.mlp
992	0.988868307460723	1.81239973518375	-0.407811013951488	1.24916618042873	-2.07845930909441	2.12631293224854	0.694120495359879	0.853372329599285	0.958523020660462	0.832962569166571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
997	0.508363233515662	0.9892133227681	NA	1.9625938400743	NA	1.32514921865379	NA	0.289443541885641	0.47805035133408	0.325828683030379	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1002	0.460312726121156	1.07292719521715	0.823599918863353	0.535738520783163	0.90854808120744	2.11147656718197	-1.51976576153852	0.585745108311454	0.430003084401442	0.584179908043156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1061	0.787056176403798	0.793880953720318	0.207894452455932	3.06017485491364	0.390800133953387	0.800930986499495	-0.41282263308932	0.652651913633412	0.756724499543382	0.660728419158053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1062	-0.231614580359731	0.584596272597693	NA	1.41380333265463	NA	0.360785489326786	NA	-0.303159590965984	-0.261877559428548	-0.267422278110073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1063	-0.38537620402215	0.0265037896040292	NA	0.151585165589394	NA	-0.217832748269418	NA	-0.522996237023845	-0.41562881361299	-0.487499247565402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1066	NA	2.48211071477615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1074	0.633294552741378	0.821785577870001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1137	1.28357808742837	1.54730580576176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1158	0.527583436473465	0.849690202019684	NA	1.41380333265463	NA	0.345949124260217	NA	0.260769196747659	0.497269258107135	0.230143044136757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1254	1.21951074295435	0.472977775998961	-0.407811013951488	0.316222317815295	0.430626898759145	-0.010123637337447	0.325139452543479	1.09232520574913	1.18914990193713	1.09131379417935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
